,source,target,value
141,Jessie Sulidis,Kiptyn Locke,1
142,Jessie Sulidis,Krisily Kennedy,1
143,Jessie Sulidis,Michelle Kujawa,1
144,Jessie Sulidis,Natalie Getz,1
145,Jessie Sulidis,"Nicole ""Nikki"" Kaapke",1
146,Jessie Sulidis,Peyton Wright,1
147,Jessie Sulidis,Tenley Molzahn,1
148,Jessie Sulidis,Wes Hayden,1
149,Jonathan Novack,Juan Barbieri,1
150,Jonathan Novack,Kiptyn Locke,1
151,Jonathan Novack,Krisily Kennedy,1
152,Jonathan Novack,Michelle Kujawa,1
153,Jonathan Novack,Natalie Getz,1
154,Jonathan Novack,"Nicole ""Nikki"" Kaapke",1
155,Jonathan Novack,Peyton Wright,1
156,Jonathan Novack,Tenley Molzahn,1
157,Jonathan Novack,Wes Hayden,1
158,Juan Barbieri,Kiptyn Locke,1
159,Juan Barbieri,Krisily Kennedy,1
160,Juan Barbieri,Michelle Kujawa,1
161,Juan Barbieri,Natalie Getz,1
162,Juan Barbieri,"Nicole ""Nikki"" Kaapke",1
163,Juan Barbieri,Peyton Wright,1
164,Juan Barbieri,Tenley Molzahn,1
165,Juan Barbieri,Wes Hayden,1
166,Kiptyn Locke,Krisily Kennedy,1
167,Kiptyn Locke,Michelle Kujawa,1
168,Kiptyn Locke,Natalie Getz,1
169,Kiptyn Locke,"Nicole ""Nikki"" Kaapke",1
170,Kiptyn Locke,Peyton Wright,1
171,Kiptyn Locke,Tenley Molzahn,1
172,Kiptyn Locke,Wes Hayden,1
173,Krisily Kennedy,Michelle Kujawa,1
174,Krisily Kennedy,Natalie Getz,1
175,Krisily Kennedy,"Nicole ""Nikki"" Kaapke",1
176,Krisily Kennedy,Peyton Wright,1
177,Krisily Kennedy,Tenley Molzahn,1
178,Krisily Kennedy,Wes Hayden,1
179,Michelle Kujawa,Natalie Getz,1
180,Michelle Kujawa,"Nicole ""Nikki"" Kaapke",1
181,Michelle Kujawa,Peyton Wright,1
182,Michelle Kujawa,Tenley Molzahn,1
183,Michelle Kujawa,Wes Hayden,1
184,Natalie Getz,"Nicole ""Nikki"" Kaapke",1
185,Natalie Getz,Peyton Wright,1
186,Natalie Getz,Tenley Molzahn,1
187,Natalie Getz,Wes Hayden,1
188,"Nicole ""Nikki"" Kaapke",Peyton Wright,1
189,"Nicole ""Nikki"" Kaapke",Tenley Molzahn,1
190,"Nicole ""Nikki"" Kaapke",Wes Hayden,1
191,Peyton Wright,Tenley Molzahn,1
192,Peyton Wright,Wes Hayden,1
193,Tenley Molzahn,Wes Hayden,1
194,Alli Travis,Ames Brown,1
195,Alli Travis,Blake Julian,1
196,Alli Travis,Ella Nolan,1
197,Alli Travis,Erica Rose,1
198,Alli Travis,Gia Allemand,1
199,Alli Travis,Graham Bunn,1
200,Alli Travis,Holly Durst,1
201,Alli Travis,Jackie Gordon,1
202,Alli Travis,Jake Pavelka,1
203,Alli Travis,Justin Rego,1
204,Alli Travis,Kasey Kahl,1
205,Alli Travis,Kirk DeWindt,1
206,Alli Travis,Melissa Schreiber,1
207,Alli Travis,Michael Stagliano,1
208,Alli Travis,Michelle Money,1
209,Alli Travis,Vienna Girardi,1
210,Alli Travis,William Holman,1
211,Ames Brown,Blake Julian,1
212,Ames Brown,Ella Nolan,1
213,Ames Brown,Erica Rose,1
214,Ames Brown,Gia Allemand,1
215,Ames Brown,Graham Bunn,1
216,Ames Brown,Holly Durst,1
217,Ames Brown,Jackie Gordon,1
218,Ames Brown,Jake Pavelka,1
219,Ames Brown,Justin Rego,1
220,Ames Brown,Kasey Kahl,1
221,Ames Brown,Kirk DeWindt,1
222,Ames Brown,Melissa Schreiber,1
223,Ames Brown,Michael Stagliano,1
224,Ames Brown,Michelle Money,1
225,Ames Brown,Vienna Girardi,1
226,Ames Brown,William Holman,1
227,Blake Julian,Ella Nolan,1
228,Blake Julian,Erica Rose,1
229,Blake Julian,Gia Allemand,1
230,Blake Julian,Graham Bunn,1
231,Blake Julian,Holly Durst,1
232,Blake Julian,Jackie Gordon,1
233,Blake Julian,Jake Pavelka,1
234,Blake Julian,Justin Rego,1
235,Blake Julian,Kasey Kahl,1
236,Blake Julian,Kirk DeWindt,1
237,Blake Julian,Melissa Schreiber,1
238,Blake Julian,Michael Stagliano,1
239,Blake Julian,Michelle Money,1
240,Blake Julian,Vienna Girardi,1
241,Blake Julian,William Holman,1
242,Ella Nolan,Erica Rose,1
243,Ella Nolan,Gia Allemand,1
244,Ella Nolan,Graham Bunn,1
245,Ella Nolan,Holly Durst,1
246,Ella Nolan,Jackie Gordon,1
247,Ella Nolan,Jake Pavelka,1
248,Ella Nolan,Justin Rego,1
249,Ella Nolan,Kasey Kahl,1
250,Ella Nolan,Kirk DeWindt,1
251,Ella Nolan,Melissa Schreiber,1
252,Ella Nolan,Michael Stagliano,1
253,Ella Nolan,Michelle Money,1
254,Ella Nolan,Vienna Girardi,1
255,Ella Nolan,William Holman,1
256,Erica Rose,Gia Allemand,1
257,Erica Rose,Graham Bunn,1
258,Erica Rose,Holly Durst,1
259,Erica Rose,Jackie Gordon,1
260,Erica Rose,Jake Pavelka,1
261,Erica Rose,Justin Rego,1
262,Erica Rose,Kasey Kahl,1
263,Erica Rose,Kirk DeWindt,1
264,Erica Rose,Melissa Schreiber,1
265,Erica Rose,Michael Stagliano,1
266,Erica Rose,Michelle Money,1
267,Erica Rose,Vienna Girardi,1
268,Erica Rose,William Holman,1
269,Gia Allemand,Graham Bunn,1
270,Gia Allemand,Holly Durst,1
271,Gia Allemand,Jackie Gordon,1
272,Gia Allemand,Jake Pavelka,1
273,Gia Allemand,Justin Rego,1
274,Gia Allemand,Kasey Kahl,1
275,Gia Allemand,Kirk DeWindt,1
276,Gia Allemand,Melissa Schreiber,1
277,Gia Allemand,Michael Stagliano,1
278,Gia Allemand,Michelle Money,1
279,Gia Allemand,Vienna Girardi,1
280,Gia Allemand,William Holman,1
281,Graham Bunn,Holly Durst,1
282,Graham Bunn,Jackie Gordon,1
283,Graham Bunn,Jake Pavelka,1
284,Graham Bunn,Justin Rego,1
285,Graham Bunn,Kasey Kahl,1
286,Graham Bunn,Kirk DeWindt,1
287,Graham Bunn,Melissa Schreiber,1
288,Graham Bunn,Michael Stagliano,1
289,Graham Bunn,Michelle Money,1
290,Graham Bunn,Vienna Girardi,1
291,Graham Bunn,William Holman,1
292,Holly Durst,Jackie Gordon,1
293,Holly Durst,Jake Pavelka,1
294,Holly Durst,Justin Rego,1
295,Holly Durst,Kasey Kahl,1
296,Holly Durst,Kirk DeWindt,1
297,Holly Durst,Melissa Schreiber,1
298,Holly Durst,Michael Stagliano,1
299,Holly Durst,Michelle Money,1
300,Holly Durst,Vienna Girardi,1
301,Holly Durst,William Holman,1
302,Jackie Gordon,Jake Pavelka,1
303,Jackie Gordon,Justin Rego,1
304,Jackie Gordon,Kasey Kahl,1
305,Jackie Gordon,Kirk DeWindt,1
306,Jackie Gordon,Melissa Schreiber,1
307,Jackie Gordon,Michael Stagliano,1
308,Jackie Gordon,Michelle Money,1
309,Jackie Gordon,Vienna Girardi,1
310,Jackie Gordon,William Holman,1
311,Jake Pavelka,Justin Rego,1
312,Jake Pavelka,Kasey Kahl,1
313,Jake Pavelka,Kirk DeWindt,1
314,Jake Pavelka,Melissa Schreiber,1
315,Jake Pavelka,Michael Stagliano,1
316,Jake Pavelka,Michelle Money,1
317,Jake Pavelka,Vienna Girardi,1
318,Jake Pavelka,William Holman,1
319,Justin Rego,Kasey Kahl,1
320,Justin Rego,Kirk DeWindt,1
321,Justin Rego,Melissa Schreiber,1
322,Justin Rego,Michael Stagliano,1
323,Justin Rego,Michelle Money,1
324,Justin Rego,Vienna Girardi,1
325,Justin Rego,William Holman,1
326,Kasey Kahl,Kirk DeWindt,1
327,Kasey Kahl,Melissa Schreiber,1
328,Kasey Kahl,Michael Stagliano,1
329,Kasey Kahl,Michelle Money,1
330,Kasey Kahl,Vienna Girardi,1
331,Kasey Kahl,William Holman,1
332,Kirk DeWindt,Melissa Schreiber,1
333,Kirk DeWindt,Michael Stagliano,1
334,Kirk DeWindt,Michelle Money,1
335,Kirk DeWindt,Vienna Girardi,1
336,Kirk DeWindt,William Holman,1
337,Melissa Schreiber,Michael Stagliano,1
338,Melissa Schreiber,Michelle Money,1
339,Melissa Schreiber,Vienna Girardi,1
340,Melissa Schreiber,William Holman,1
341,Michael Stagliano,Michelle Money,1
342,Michael Stagliano,Vienna Girardi,1
343,Michael Stagliano,William Holman,1
344,Michelle Money,Vienna Girardi,1
345,Michelle Money,William Holman,1
346,Vienna Girardi,William Holman,1
347,Blakeley Jones,Chris Bukowski,1
348,Blakeley Jones,Ed Swiderski,1
349,Blakeley Jones,Erica Rose,1
350,Blakeley Jones,Jaclyn Swartz,1
351,Blakeley Jones,Jamie Otis,1
352,Blakeley Jones,Kalon McMahon,1
353,Blakeley Jones,Lindzi Cox,1
354,Blakeley Jones,Michael Stagliano,1
355,Blakeley Jones,Nick Peterson,1
356,Blakeley Jones,Rachel Truehart,1
357,Blakeley Jones,Reid Rosenthal,1
358,Blakeley Jones,Ryan Hoag,1
359,Blakeley Jones,Sarah Newlon,1
360,Blakeley Jones,Tony Pieper,1
361,Chris Bukowski,Ed Swiderski,1
362,Chris Bukowski,Erica Rose,1
363,Chris Bukowski,Jaclyn Swartz,1
364,Chris Bukowski,Jamie Otis,1
365,Chris Bukowski,Kalon McMahon,1
366,Chris Bukowski,Lindzi Cox,1
367,Chris Bukowski,Michael Stagliano,1
368,Chris Bukowski,Nick Peterson,1
369,Chris Bukowski,Rachel Truehart,1
370,Chris Bukowski,Reid Rosenthal,1
371,Chris Bukowski,Ryan Hoag,1
372,Chris Bukowski,Sarah Newlon,1
373,Chris Bukowski,Tony Pieper,1
374,Ed Swiderski,Erica Rose,1
375,Ed Swiderski,Jaclyn Swartz,1
376,Ed Swiderski,Jamie Otis,1
377,Ed Swiderski,Kalon McMahon,1
378,Ed Swiderski,Lindzi Cox,1
379,Ed Swiderski,Michael Stagliano,1
380,Ed Swiderski,Nick Peterson,1
381,Ed Swiderski,Rachel Truehart,1
382,Ed Swiderski,Reid Rosenthal,1
383,Ed Swiderski,Ryan Hoag,1
384,Ed Swiderski,Sarah Newlon,1
385,Ed Swiderski,Tony Pieper,1
386,Erica Rose,Jaclyn Swartz,1
387,Erica Rose,Jamie Otis,1
388,Erica Rose,Kalon McMahon,1
389,Erica Rose,Lindzi Cox,1
390,Erica Rose,Michael Stagliano,1
391,Erica Rose,Nick Peterson,1
392,Erica Rose,Rachel Truehart,1
393,Erica Rose,Reid Rosenthal,1
394,Erica Rose,Ryan Hoag,1
395,Erica Rose,Sarah Newlon,1
396,Erica Rose,Tony Pieper,1
397,Jaclyn Swartz,Jamie Otis,1
398,Jaclyn Swartz,Kalon McMahon,1
399,Jaclyn Swartz,Lindzi Cox,1
400,Jaclyn Swartz,Michael Stagliano,1
401,Jaclyn Swartz,Nick Peterson,1
402,Jaclyn Swartz,Rachel Truehart,1
403,Jaclyn Swartz,Reid Rosenthal,1
404,Jaclyn Swartz,Ryan Hoag,1
405,Jaclyn Swartz,Sarah Newlon,1
406,Jaclyn Swartz,Tony Pieper,1
407,Jamie Otis,Kalon McMahon,1
408,Jamie Otis,Lindzi Cox,1
409,Jamie Otis,Michael Stagliano,1
410,Jamie Otis,Nick Peterson,1
411,Jamie Otis,Rachel Truehart,1
412,Jamie Otis,Reid Rosenthal,1
413,Jamie Otis,Ryan Hoag,1
414,Jamie Otis,Sarah Newlon,1
415,Jamie Otis,Tony Pieper,1
416,Kalon McMahon,Lindzi Cox,1
417,Kalon McMahon,Michael Stagliano,1
418,Kalon McMahon,Nick Peterson,1
419,Kalon McMahon,Rachel Truehart,1
420,Kalon McMahon,Reid Rosenthal,1
421,Kalon McMahon,Ryan Hoag,1
422,Kalon McMahon,Sarah Newlon,1
423,Kalon McMahon,Tony Pieper,1
424,Lindzi Cox,Michael Stagliano,1
425,Lindzi Cox,Nick Peterson,1
426,Lindzi Cox,Rachel Truehart,1
427,Lindzi Cox,Reid Rosenthal,1
428,Lindzi Cox,Ryan Hoag,1
429,Lindzi Cox,Sarah Newlon,1
430,Lindzi Cox,Tony Pieper,1
431,Michael Stagliano,Nick Peterson,1
432,Michael Stagliano,Rachel Truehart,1
433,Michael Stagliano,Reid Rosenthal,1
434,Michael Stagliano,Ryan Hoag,1
435,Michael Stagliano,Sarah Newlon,1
436,Michael Stagliano,Tony Pieper,1
437,Nick Peterson,Rachel Truehart,1
438,Nick Peterson,Reid Rosenthal,1
439,Nick Peterson,Ryan Hoag,1
440,Nick Peterson,Sarah Newlon,1
441,Nick Peterson,Tony Pieper,1
442,Rachel Truehart,Reid Rosenthal,1
443,Rachel Truehart,Ryan Hoag,1
444,Rachel Truehart,Sarah Newlon,1
445,Rachel Truehart,Tony Pieper,1
446,Reid Rosenthal,Ryan Hoag,1
447,Reid Rosenthal,Sarah Newlon,1
448,Reid Rosenthal,Tony Pieper,1
449,Ryan Hoag,Sarah Newlon,1
450,Ryan Hoag,Tony Pieper,1
451,Sarah Newlon,Tony Pieper,1
452,AshLee Frazier,Ben Scott,1
453,AshLee Frazier,Brooks Forester,1
454,AshLee Frazier,Chris Bukowski,1
455,AshLee Frazier,Christy Hansen,1
456,AshLee Frazier,Clare Crawley,1
457,AshLee Frazier,Cody Sattler,1
458,AshLee Frazier,Daniella McBride,1
459,AshLee Frazier,Danielle Ronco,1
460,AshLee Frazier,Dylan Petitt,1
461,AshLee Frazier,Elise Mosca,1
462,AshLee Frazier,Graham Bunn,1
463,AshLee Frazier,Jackie Parr,1
464,AshLee Frazier,Jesse Kovacs,1
465,AshLee Frazier,Kalon McMahon,1
466,AshLee Frazier,Lacy Faddoul,1
467,AshLee Frazier,Lucy Aragon,1
468,AshLee Frazier,Marcus Grodd,1
469,AshLee Frazier,Marquel Martin,1
470,AshLee Frazier,Michelle Kujawa,1
471,AshLee Frazier,Michelle Money,1
472,AshLee Frazier,Robert Graham,1
473,AshLee Frazier,Sarah Herron,1
474,AshLee Frazier,Tasos Hernandez,1
475,AshLee Frazier,Zack Kalter,1
476,Ben Scott,Brooks Forester,1
477,Ben Scott,Chris Bukowski,1
478,Ben Scott,Christy Hansen,1
479,Ben Scott,Clare Crawley,1
480,Ben Scott,Cody Sattler,1
481,Ben Scott,Daniella McBride,1
482,Ben Scott,Danielle Ronco,1
483,Ben Scott,Dylan Petitt,1
484,Ben Scott,Elise Mosca,1
485,Ben Scott,Graham Bunn,1
486,Ben Scott,Jackie Parr,1
487,Ben Scott,Jesse Kovacs,1
488,Ben Scott,Kalon McMahon,1
489,Ben Scott,Lacy Faddoul,1
490,Ben Scott,Lucy Aragon,1
491,Ben Scott,Marcus Grodd,1
492,Ben Scott,Marquel Martin,1
493,Ben Scott,Michelle Kujawa,1
494,Ben Scott,Michelle Money,1
495,Ben Scott,Robert Graham,1
496,Ben Scott,Sarah Herron,1
497,Ben Scott,Tasos Hernandez,1
498,Ben Scott,Zack Kalter,1
499,Brooks Forester,Chris Bukowski,1
500,Brooks Forester,Christy Hansen,1
501,Brooks Forester,Clare Crawley,1
502,Brooks Forester,Cody Sattler,1
503,Brooks Forester,Daniella McBride,1
504,Brooks Forester,Danielle Ronco,1
505,Brooks Forester,Dylan Petitt,1
506,Brooks Forester,Elise Mosca,1
507,Brooks Forester,Graham Bunn,1
508,Brooks Forester,Jackie Parr,1
509,Brooks Forester,Jesse Kovacs,1
510,Brooks Forester,Kalon McMahon,1
511,Brooks Forester,Lacy Faddoul,1
512,Brooks Forester,Lucy Aragon,1
513,Brooks Forester,Marcus Grodd,1
514,Brooks Forester,Marquel Martin,1
515,Brooks Forester,Michelle Kujawa,1
516,Brooks Forester,Michelle Money,1
517,Brooks Forester,Robert Graham,1
518,Brooks Forester,Sarah Herron,1
519,Brooks Forester,Tasos Hernandez,1
520,Brooks Forester,Zack Kalter,1
521,Chris Bukowski,Christy Hansen,1
522,Chris Bukowski,Clare Crawley,1
523,Chris Bukowski,Cody Sattler,1
524,Chris Bukowski,Daniella McBride,1
525,Chris Bukowski,Danielle Ronco,1
526,Chris Bukowski,Dylan Petitt,1
527,Chris Bukowski,Elise Mosca,1
528,Chris Bukowski,Graham Bunn,1
529,Chris Bukowski,Jackie Parr,1
530,Chris Bukowski,Jesse Kovacs,1
531,Chris Bukowski,Kalon McMahon,1
532,Chris Bukowski,Lacy Faddoul,1
533,Chris Bukowski,Lucy Aragon,1
534,Chris Bukowski,Marcus Grodd,1
535,Chris Bukowski,Marquel Martin,1
536,Chris Bukowski,Michelle Kujawa,1
537,Chris Bukowski,Michelle Money,1
538,Chris Bukowski,Robert Graham,1
539,Chris Bukowski,Sarah Herron,1
540,Chris Bukowski,Tasos Hernandez,1
541,Chris Bukowski,Zack Kalter,1
542,Christy Hansen,Clare Crawley,1
543,Christy Hansen,Cody Sattler,1
544,Christy Hansen,Daniella McBride,1
545,Christy Hansen,Danielle Ronco,1
546,Christy Hansen,Dylan Petitt,1
547,Christy Hansen,Elise Mosca,1
548,Christy Hansen,Graham Bunn,1
549,Christy Hansen,Jackie Parr,1
550,Christy Hansen,Jesse Kovacs,1
551,Christy Hansen,Kalon McMahon,1
552,Christy Hansen,Lacy Faddoul,1
553,Christy Hansen,Lucy Aragon,1
554,Christy Hansen,Marcus Grodd,1
555,Christy Hansen,Marquel Martin,1
556,Christy Hansen,Michelle Kujawa,1
557,Christy Hansen,Michelle Money,1
558,Christy Hansen,Robert Graham,1
559,Christy Hansen,Sarah Herron,1
560,Christy Hansen,Tasos Hernandez,1
561,Christy Hansen,Zack Kalter,1
562,Clare Crawley,Cody Sattler,1
563,Clare Crawley,Daniella McBride,1
564,Clare Crawley,Danielle Ronco,1
565,Clare Crawley,Dylan Petitt,1
566,Clare Crawley,Elise Mosca,1
567,Clare Crawley,Graham Bunn,1
568,Clare Crawley,Jackie Parr,1
569,Clare Crawley,Jesse Kovacs,1
570,Clare Crawley,Kalon McMahon,1
571,Clare Crawley,Lacy Faddoul,1
572,Clare Crawley,Lucy Aragon,1
573,Clare Crawley,Marcus Grodd,1
574,Clare Crawley,Marquel Martin,1
575,Clare Crawley,Michelle Kujawa,1
576,Clare Crawley,Michelle Money,1
577,Clare Crawley,Robert Graham,1
578,Clare Crawley,Sarah Herron,1
579,Clare Crawley,Tasos Hernandez,1
580,Clare Crawley,Zack Kalter,1
581,Cody Sattler,Daniella McBride,1
582,Cody Sattler,Danielle Ronco,1
583,Cody Sattler,Dylan Petitt,1
584,Cody Sattler,Elise Mosca,1
585,Cody Sattler,Graham Bunn,1
586,Cody Sattler,Jackie Parr,1
587,Cody Sattler,Jesse Kovacs,1
588,Cody Sattler,Kalon McMahon,1
589,Cody Sattler,Lacy Faddoul,1
590,Cody Sattler,Lucy Aragon,1
591,Cody Sattler,Marcus Grodd,1
592,Cody Sattler,Marquel Martin,1
593,Cody Sattler,Michelle Kujawa,1
594,Cody Sattler,Michelle Money,1
595,Cody Sattler,Robert Graham,1
596,Cody Sattler,Sarah Herron,1
597,Cody Sattler,Tasos Hernandez,1
598,Cody Sattler,Zack Kalter,1
599,Daniella McBride,Danielle Ronco,1
600,Daniella McBride,Dylan Petitt,1
601,Daniella McBride,Elise Mosca,1
602,Daniella McBride,Graham Bunn,1
603,Daniella McBride,Jackie Parr,1
604,Daniella McBride,Jesse Kovacs,1
605,Daniella McBride,Kalon McMahon,1
606,Daniella McBride,Lacy Faddoul,1
607,Daniella McBride,Lucy Aragon,1
608,Daniella McBride,Marcus Grodd,1
609,Daniella McBride,Marquel Martin,1
610,Daniella McBride,Michelle Kujawa,1
611,Daniella McBride,Michelle Money,1
612,Daniella McBride,Robert Graham,1
613,Daniella McBride,Sarah Herron,1
614,Daniella McBride,Tasos Hernandez,1
615,Daniella McBride,Zack Kalter,1
616,Danielle Ronco,Dylan Petitt,1
617,Danielle Ronco,Elise Mosca,1
618,Danielle Ronco,Graham Bunn,1
619,Danielle Ronco,Jackie Parr,1
620,Danielle Ronco,Jesse Kovacs,1
621,Danielle Ronco,Kalon McMahon,1
622,Danielle Ronco,Lacy Faddoul,1
623,Danielle Ronco,Lucy Aragon,1
624,Danielle Ronco,Marcus Grodd,1
625,Danielle Ronco,Marquel Martin,1
626,Danielle Ronco,Michelle Kujawa,1
627,Danielle Ronco,Michelle Money,1
628,Danielle Ronco,Robert Graham,1
629,Danielle Ronco,Sarah Herron,1
630,Danielle Ronco,Tasos Hernandez,1
631,Danielle Ronco,Zack Kalter,1
632,Dylan Petitt,Elise Mosca,1
633,Dylan Petitt,Graham Bunn,1
634,Dylan Petitt,Jackie Parr,1
635,Dylan Petitt,Jesse Kovacs,1
636,Dylan Petitt,Kalon McMahon,1
637,Dylan Petitt,Lacy Faddoul,1
638,Dylan Petitt,Lucy Aragon,1
639,Dylan Petitt,Marcus Grodd,1
640,Dylan Petitt,Marquel Martin,1
641,Dylan Petitt,Michelle Kujawa,1
642,Dylan Petitt,Michelle Money,1
643,Dylan Petitt,Robert Graham,1
644,Dylan Petitt,Sarah Herron,1
645,Dylan Petitt,Tasos Hernandez,1
646,Dylan Petitt,Zack Kalter,1
